Categoria,Nombre,Direccion,Ciudad,Telefono,Email,Sitio,Notas,Prioridad,Fuente
Lebanese/Arab Rest BSN,Ugarit Sants,требует верификации (Sants),Barcelona,требует верификации,,,"Сирийский 'Middle Eastern'. 171 отзыв.",3,tripadvisor
Lebanese/Arab Rest BSN,Arze Restaurante Libanés,требует верификации,Barcelona,требует верификации,,glovo,"Ливанский на Glovo.",3,glovo
Lebanese/Arab Rest BSN,Café Arabia,"Carrer Verdi, 16 bajo (rest. Alwaja), 08012",Barcelona,требует верификации,,cafearabiabarcelona.com,"Ливанский халяль.",4,cafearabiabarcelona.com
Lebanese/Arab Rest BSN,Beryti Bistro,"Travessera de Gràcia, 228, 08024",Barcelona,требует верификации,,,"Ливанский бистро в Грасия. Хозяйки из Бейрута.",4,inandoutbarcelona
Lebanese/Arab Rest BSN,Bistrot Levante,"Placeta de Manuel Ribé, 1, 08002",Barcelona,требует верификации,,,"Левантский ресторан в Готике.",3,inandoutbarcelona
Lebanese/Arab Rest BSN,Hummus Barcelona,"Carrer de València, 227, 08007",Barcelona,требует верификации,,hummusbarcelona.eltenedor.rest,"Хумус и левантская кухня. Хорошо берут пита/лаваш.",4,inandoutbarcelona
Lebanese/Arab Rest BSN,A Tu Bola,"Carrer de l'Hospital, 78, 08001",Barcelona,+34 933 153 244,,atubolarestaurante.com,"Израильский ресторан. Левантский крокеты/фалафель.",3,atubolarestaurante.com
Lebanese/Arab Rest BSN,El Cocinero de Damasco,"Carrer dels Templers, 2, 08002",Barcelona,+34 637 990 606,,,"Сирийский ресторан в Готике.",4,wanderlog
Lebanese/Arab Rest BSN,Musta Shawarma,"Carrer de Mozart, 4, Gràcia, 08012",Barcelona,+34 935 008 591,,m.facebook.com/MustaShawarma,"Шаварма-точка. Прямой клиент для лаваша/питы.",5,wanderlog
Halal/Carniceria Lloret,Carnicería Halal Fátima,"C/ Girona, 11, 17310",Lloret de Mar,+34 631 464 370,info@carniceriafatimalloret.com,carniceriafatimalloret.com,"Лучшая халяль-мясная в Льорете. Супермаркет арабских/мусульманских товаров. 10+ лет работы. Местный КЛИЕНТ №1 для лаваша. Открыты ежедневно 9-15 и 17-22.",5,carniceriafatimalloret.com
Halal/Carniceria Lloret,Carnicería Halal El Molí,"Av. de Vidreres, 122, 17310",Lloret de Mar,+34 640 346 020,,carniceria-halal-elmoli-lloret-de-mar.negocio.site,"Халяль-мясная Льорет. Зайти лично.",5,enlloret.com
Halal/Carniceria Lloret,Carnicería Halal Souliman,"Carrer del Carme, 14, 17310",Lloret de Mar,+34 698 273 446,,,"Халяль Льорет.",5,botiguesdecatalunya
Halal/Carniceria Lloret,Carnicería Al Mobaraka,"Carrer de l'Oliva, 51, 17310",Lloret de Mar,+34 631 17 95 34,,,"Халяль Льорет.",5,botiguesdecatalunya
Halal/Carniceria Lloret,Carnicería Salam y Supermercado,"Carrer de Narcís Fors, 10, 17310",Lloret de Mar,+34 632 986 579,,,"Халяль + супермаркет арабских продуктов. Двойная цель.",5,botiguesdecatalunya
Halal/Carniceria Lloret,Bouchrie Al Badr Halal,"Carrer de Sant Josep, 17310",Lloret de Mar,+34 631 850 611,,,"Халяль.",5,carniceriaespana.com
Halal/Carniceria Lloret,Boucherie Halal Amir,"33, Carrer de Riu de la Plata, 31, 17310",Lloret de Mar,+34 682 869 843,,,"Халяль.",5,carniceriaespana.com
Halal/Carniceria Lloret,Carnisseria Assalam,"Carrer de Narcís Fors, 10, 17310",Lloret de Mar,требует верификации,,,"Халяль.",5,publicaton
Lloret Kebab/Shawarma,Beach Doner Kebab,"Carrer Sant Oleguer, 3 / Passeig d'Agustí Font, 3, 17310",Lloret de Mar,+34 972 363 032,info@beachdonerkebab.com,beachdonerkebab.com,"Турецкий кебаб ХАЛЯЛЬ. 53 отзыва. Открыто до 00:30. ОБЯЗАТЕЛЬНЫЙ клиент - дёнер из лаваша.",5,tripadvisor / glovo
Lloret Kebab/Shawarma,Pita King Kebab,Lloret de Mar центр,Lloret de Mar,требует верификации,,,"Турецкий кебаб. 32 отзыва. Top-3 турецкая в Льорете.",5,tripadvisor
Lloret Kebab/Shawarma,El Shawarma Original,"Plaza Santa Cristina N 1, 17310",Lloret de Mar,+34 632 920 781,,,"Турецкая шаварма. Открыто 15:00-03:30. Большие объёмы лаваша/дюрум.",5,tripadvisor / glovo
Lloret Kebab/Shawarma,Restaurante Omar Halal,"Av. Camí de l'Àngel, 45, 17310",Lloret de Mar,+34 602 080 057,,restauranteomar.com,"Марокканский халяль ресторан. Кускус. Целевой.",5,restauranteomar.com
Lloret Kebab/Shawarma,Carme Doner Kebab y Pizzería,требует верификации,Lloret de Mar,требует верификации,,glovo,"Кебаб + пиццерия. На Glovo.",5,glovo
Lloret Kebab/Shawarma,Doner Kebab El Molí,требует верификации,Lloret de Mar,требует верификации,,glovo,"На Glovo и Uber Eats. Активный.",5,glovo
Lloret Kebab/Shawarma,Mika Doner Kebab 2,требует верификации,Lloret de Mar,требует верификации,,glovo,"На Glovo.",4,glovo
Lloret Kebab/Shawarma,Kebab Marmara,требует верификации,Lloret de Mar,требует верификации,,glovo,"На Glovo.",4,glovo
Lloret Kebab/Shawarma,Kebab Lloret,требует верификации,Lloret de Mar,требует верификации,,glovo,"На Glovo. 100% рейтинг.",4,glovo
Lloret Kebab/Shawarma,Jaan's Kebab,требует верификации,Lloret de Mar,требует верификации,,glovo / ubereats,"Халяль. На обеих платформах. 17 отзывов 100%.",5,glovo
Lloret Kebab/Shawarma,Moni Doner Kebab / Moni Bar,требует верификации,Lloret de Mar,требует верификации,,glovo / ubereats,"На Glovo и Uber Eats.",4,glovo
Lloret Kebab/Shawarma,GOYA Kebab Pizzería,требует верификации,Lloret de Mar,требует верификации,,glovo,"Кебаб + пиццерия.",4,glovo
Lloret Kebab/Shawarma,Istambul Kebab,требует верификации,Lloret de Mar,требует верификации,,glovo,"Турецкий кебаб.",4,glovo
Lloret Kebab/Shawarma,Big Bites,требует верификации,Lloret de Mar,требует верификации,,glovo,"Арабская категория Glovo.",4,glovo
Lloret Kebab/Shawarma,King Doner Kebab,требует верификации,Lloret de Mar,требует верификации,,glovo,"Кебаб.",4,glovo
Lloret Kebab/Shawarma,CITY KEBAB,требует верификации,Lloret de Mar,требует верификации,,glovo,"Кебаб.",4,glovo
Lloret Kebab/Shawarma,Turco Pizza Kebab y Taco Francés,требует верификации,Lloret de Mar,требует верификации,,glovo / ubereats,"Кебаб-пицца-тако.",4,glovo
Lloret Kebab/Shawarma,Doner Kebab Mesón Antonio Lloret,требует верификации,Lloret de Mar,требует верификации,,glovo,"Кебаб.",4,glovo
Lloret Kebab/Shawarma,Bollywood Doner Kebab,"Av. del Puig de Castellet, 9, 17310",Lloret de Mar,требует верификации,,thefork.es / ubereats,"Индо-арабский кебаб. 20€ avg. Хороший канал.",5,thefork / ubereats
Lloret Kebab/Shawarma,Al Andalus Kebab,требует верификации,Lloret de Mar,требует верификации,,glovo,"На Glovo. 98% / 91 отзыв.",4,glovo
Lloret Kebab/Shawarma,ROUTE 33 - Halal Restaurant,требует верификации,Lloret de Mar,требует верификации,,glovo,"Халяль-ресторан. 97% / 53 отзыва.",5,glovo
Lloret Kebab/Shawarma,Restaurante Indian Tandoori,требует верификации,Lloret de Mar,требует верификации,,glovo,"Индийский - тоже может покупать лаваш.",3,glovo
Lloret Kebab/Shawarma,Restaurante Ganeshay,требует верификации,Lloret de Mar,требует верификации,,glovo,"Индийский на Glovo.",3,glovo
Lloret Kebab/Shawarma,Dallas Pizzería & Donner Kebab,требует верификации,Lloret de Mar,требует верификации,,glovo / ubereats,"Кебаб+пиццерия.",4,glovo
Lloret Kebab/Shawarma,Doner Kebab Amigos,требует верификации,Lloret de Mar,требует верификации,,ubereats,"На Uber Eats.",4,ubereats
Lloret Kebab/Shawarma,Cleopatra Kebab,требует верификации,Lloret de Mar,требует верификации,,ubereats,"На Uber Eats.",4,ubereats
Lloret Kebab/Shawarma,El Turco Pizza Restaurante,требует верификации,Lloret de Mar / Pineda,требует верификации,,ubereats,"Турецкий.",4,ubereats
Lloret Kebab/Shawarma,Niku Kebab,требует верификации,Lloret de Mar,требует верификации,,ubereats,"На Uber Eats.",3,ubereats
Lloret Kebab/Shawarma,New Jersey Turkish Kitchen,требует верификации,Lloret de Mar,требует верификации,,ubereats,"Турецкая кухня.",4,ubereats
Lloret Kebab/Shawarma,Sabor Turc,требует верификации,Lloret de Mar,требует верификации,,ubereats,"Турецкий.",4,ubereats
Lloret Kebab/Shawarma,Adam Kebab,требует верификации,Lloret de Mar,требует верификации,,ubereats,"На Uber Eats.",3,ubereats
Lloret Kebab/Shawarma,Mr Kebabish,требует верификации,Lloret de Mar,требует верификации,,ubereats,"На Uber Eats.",3,ubereats
Lloret Kebab/Shawarma,El Sabor Doner Kebab & Pizzería,требует верификации,Lloret de Mar,требует верификации,,ubereats,"Кебаб + пиццерия.",4,ubereats
Lloret Kebab/Shawarma,BM Pizza y Kebab,требует верификации,Lloret de Mar,требует верификации,,ubereats,"Пицца+кебаб.",3,ubereats
Lloret Kebab/Shawarma,Ke Way Pizzería y Doner Kebabs,требует верификации,Lloret de Mar,требует верификации,,ubereats,"Пицца+кебаб.",3,ubereats
Lloret Kebab/Shawarma,Delco Pizza Kebab,требует верификации,Lloret de Mar,требует верификации,,ubereats,"Пицца+кебаб.",3,ubereats
Lloret Kebab/Shawarma,Parque Doner Kebab,требует верификации,Lloret de Mar,требует верификации,,ubereats,"Кебаб.",3,ubereats
Lloret Kebab/Shawarma,King's Doner Kebab,требует верификации,Lloret de Mar,требует верификации,,ubereats,"Кебаб.",3,ubereats
Lloret Kebab/Shawarma,Cataluña Kebab Pizzería,требует верификации,Lloret de Mar,требует верификации,,ubereats,"Кебаб+пицца.",3,ubereats
Lloret Kebab/Shawarma,Fresh Pizza Doner Kebab,требует верификации,Lloret de Mar,требует верификации,,ubereats,"Пицца+кебаб.",3,ubereats
Lloret Kebab/Shawarma,Restaurante Pizzería Dubai,требует верификации,Lloret de Mar,требует верификации,,ubereats,"Арабско-итальянский.",4,ubereats
Lloret Kebab/Shawarma,Thana Kebab,требует верификации,Lloret de Mar,требует верификации,,ubereats,"Кебаб.",3,ubereats
Lloret Kebab/Shawarma,Ranjha Kebab - Pizzería,требует верификации,Lloret de Mar,требует верификации,,ubereats,"Пиццерия+кебаб.",3,ubereats
Lloret Kebab/Shawarma,Turkish Diner,требует верификации,Lloret de Mar,требует верификации,,ubereats,"Турецкий.",4,ubereats
Lloret Kebab/Shawarma,Turkish Halal Food,требует верификации,Lloret de Mar,требует верификации,,ubereats,"Турецкий халяль.",4,ubereats
Lloret Kebab/Shawarma,Turca King Kebab,требует верификации,Lloret de Mar,требует верификации,,ubereats,"Турецкий.",3,ubereats
Lloret Kebab/Shawarma,El Sabor (Halal),требует верификации,Lloret de Mar,требует верификации,,ubereats,"Халяль.",4,ubereats
Tossa Kebab,Pita Döner Kebab,"Carrer Barcelona, 17, bajos 5, 17320",Tossa de Mar,+34 632 64 92 97,,,"Турецкий кебаб в Тосса. ~30 мин от Льорета.",5,wanderlog
Tossa Kebab,Kebab Pizzería i Braseria Catalunya,требует верификации,Tossa/Lloret,требует верификации,,ubereats,"Кебаб+пицца.",4,ubereats
Blanes Kebab/Halal,Tot Brassa Blanes,требует верификации,Blanes,требует верификации,,ubereats,"Халяль ресторан в Бланесе. ~20 мин от Льорета.",5,ubereats
Blanes Kebab/Halal,Foster's Hollywood Blanes,требует верификации,Blanes,требует верификации,,ubereats,"Не халяль но крупная точка.",2,ubereats
Blanes Kebab/Halal,DIA (DE BLANES KM 10.400),"KM 10.400",Blanes,требует верификации,,,"Сетевой супер. Тяжело попасть напрямую но возможно.",2,ubereats
Calella/Pineda Kebab,Pizza Rica Kebab Calella,требует верификации,Calella,требует верификации,,ubereats,"Кебаб-пицца.",4,ubereats
Calella/Pineda Kebab,Top Pizza Malgrat,требует верификации,Malgrat de Mar,требует верификации,,ubereats,"Пиццерия.",3,ubereats
Calella/Pineda Kebab,Luna de Anatolia Pineda,требует верификации,Pineda de Mar,требует верификации,,ubereats,"Турецкая. Берут лаваш.",4,ubereats
Sant Feliu Kebab,Guíxols Kebab,требует верификации,Sant Feliu de Guíxols,требует верификации,,ubereats,"Кебаб. ~30 мин от Льорета.",4,ubereats
