ID,Тип_покупки,Категория,Название,Адрес,Город,Телефон,Email,Сайт,Заметки,Приоритет,Источник,Верифицировано,Доверие,Дата_проверки,Источник_проверки,Халяль_нужен,Холодная_цепочка,Текущий_поставщик_лаваша,Сезонность
R014,Розница,Розница-Русский/славянский магазин,Bazar de Rusia,"c/ Iglesia, 143, loc. 4",Calella,,,,"Адрес есть только в одном старом каталоге (asfaru.org). Никаких актуальных подтверждений 2023-2026: нет сайта, нет соцсетей, нет Páginas Amarillas, нет Google Maps. С высокой вероятностью закрыт. Перед визитом — проверить лично.",4,asfaru.org,Нет,2,2026-05-28,not found in 2023-2026 sources,,,,Круглый год
R015,Розница,Розница-Русский/славянский магазин,Teremok,"Passeig de Sant Joan, 125, 08037",Barcelona,+34 932 082 037,,https://www.teremok.es,"Крупнейший русский магазин Барселоны. Прямой импорт из СНГ. Селёдка, кефир, сметана, пельмени, икра. Обязательная цель - холодные звонки + личный визит. VERIFICADO 2026-05-28: Адрес и тел подтверждены на teremok.es, hotfrog.es, cylex.es. Часы: пн-сб 10:00-21:00, вс - закрыт (в некоторых каталогах вс 10:00-15:00). Угол с Carrer Rosselló. Метро L4 Passeig Sant Joan / L5 Verdaguer.",5,teremok.es,Да,5,2026-05-28,https://www.teremok.es / https://www.hotfrog.es/company/1122566754390016 / https://www.cylex.es/barcelona/tienda-rusa-teremok-12888202.html,,,,Круглый год
R016,Розница,Розница-Русский/славянский магазин,Troika Delicatessen,"Carrer de la Unió, 3, 08001",Barcelona,+34 933 028 273,info@espanarusa.com,https://www.tiendarusa.com,"Самый известный русский супер в центре БСН (El Raval, у Лас Рамблас). Открыт Пн-Вс. Русские/украинские/литовские/польские товары. Влиятельная точка. VERIFICADO 2026-05-28: Альтернативные/исторические телефоны: 93 272 64 90, 638 841 638 (urgencias), 93 302 85 73. Часы: пн-сб 10:00-21:00, вс 10:00-15:00. По данным bcngourmet работает пн-вс 10-21:30. Метро Liceu L3. Открыты 20+ лет (с ~2001). Beteve.cat назвал «referent» славянских продуктов.",5,bcngourmet.com / espanarusa.com,Да,5,2026-05-28,https://espanarusa.com/es/hedonist/ad/hedonist/categories/Soul/places_of_interest/506272 / https://www.bcngourmet.com/barcelona.asp?vista=ficha&tienda=troika-delicatessen / https://beteve.cat/economia/supermercats-alimentacio-estrangera-barcelona-xina-russia-pakistan-filipines/,,,,Круглый год
R017,Розница,Розница-Русский/славянский магазин,SamSmak Paral·lel,"Carrer del Roser, 7, 08004",Barcelona,+34 654 171 541,,https://www.samsmak.es,"Сеть SamSmak. Икра, замороженные, творог, гречка. Хорошая точка для лаваша. VERIFICADO 2026-05-28: Тел и адрес подтверждены на официальном сайте samsmak.es. Часы ежедневно 10:00-21:00. Продавцы: Inessa, Lyudmila. Барселона Poble-sec. Продают также пересылки в Украину/ЕС.",5,barcelonaguru.com,Да,5,2026-05-28,https://samsmak.es/es/barselona-parallel-es.html / https://barcelonaguru.com/tiendas-rusas-en-barcelona/,,,,Круглый год
R018,Розница,Розница-Русский/славянский магазин,SamSmak Sants Estació,"Carrer del Rector Triadó, 92, 08014",Barcelona,+34 673 092 852,,https://www.samsmak.es,"Вторая точка SamSmak (бывш. Siberia). Возле станции Сантс. VERIFICADO 2026-05-28: Тел 673 092 852 подтверждён на samsmak.es и Waze. Часы ежедневно 10:00-21:00. Hostafrancs. Продавцы: Katya, Oksana, Margarita. Альтернативный тел из старой базы: +34 930 188 465 - не подтверждён.",5,barcelonaguru.com / espanarusa.com,Да,5,2026-05-28,https://samsmak.es/es/barselona-sants-estacion-es.html / https://www.waze.com/ru/live-map/directions/es/ct/barcelona/samsmak-market-(samsmak),,,,Круглый год
R019,Розница,Розница-Русский/славянский магазин,Kalinka Malinka,"Carrer de Radas, 11, 08004",Barcelona,+34 931 745 188,,,Семейный супермаркет. Работает 10-22 без выходных. VERIFICADO 2026-05-28: Тел и адрес подтверждены через ok.ru и barcelona-maresme.com (списки русских магазинов БСН). Также найден на geodruid в plaça del Setge de 1714 (рядом с Radas 11). Poble-sec.,4,balkanicaonline.es,Да,4,2026-05-28,https://ok.ru/group/52166031573072/topic/62263207859536 / https://barcelona-maresme.com/2016/12/26/russkie-magaziny-v-barselone/ / https://m.geodruid.com/intl/es/place/5042194-kalinka-malinka-grocery-store-barcelona-espana,,,,Круглый год
R020,Розница,Розница-Русский/славянский магазин,Magnit Russian Shop,"Carrer de Llull, 394, baja, 08019",Barcelona,+34 935 14 79 97,magnitbarcelona@gmail.com,https://www.magnit.es,"Сант Марти. 200+ отзывов 4.5* на Гугле. VERIFICADO 2026-05-28: Адрес, тел и email подтверждены на Waze и spaintorus.es. Email magnitbarcelona@gmail.com. Часы пн-сб 10:00-21:00, вс выходной (отдельные источники указывают 8-22 7 дней). Координаты 41.4114945, 2.2164961. Категория: Supermarkets/Russian grocery stores.",5,rentechdigital.com / spaintorus.es,Да,5,2026-05-28,https://www.waze.com/live-map/directions/es/ct/barcelona/magnit-or-magnit-russian-shop / https://spaintorus.es/karta/ / https://rentechdigital.com/smartscraper/business-report-details/list-of-russian-grocery-stores-in-spain,,,,Круглый год
R021,Розница,Розница-Русский/славянский магазин,MiniMix - Eslava (Barceloneta),"Carrer de la Marquesa, 7, 08003",Barcelona,+34 931 276 849,,,"Барселонетта. Сильные отзывы 4.6* - 132 отзыва. Целевая. VERIFICADO 2026-05-28: Адрес и тел подтверждены через spaintorus.es и menuweb.menu. Альтернативный тел: 931 120 520. Часы: пн-пт 09:00-21:00, сб 10:00-21:00, вс 11:00-21:00. Ciutat Vella. Хорошие отзывы клиентов: «No han subido tanto los precios como otras tiendas rusas». Также пекарня внутри.",5,rentechdigital.com / barcelona-maresme.com,Да,5,2026-05-28,https://spaintorus.es/karta/page/7 / https://menuweb.menu/restaurants/donabate-ireland/minimix-barceloneta-tienda-eslava,,,,Круглый год
R022,Розница,Розница-Русский/славянский магазин,Mix Markt Barcelona,"Carrer de Sicília, 133-135, 08013",Barcelona,+34 672 137 353,,https://www.mixmarkt.eu,"Часть европейской сети Mix Markt. Восточно-европейские деликатесы. Принимают новых поставщиков пельменей/лаваша. VERIFICADO 2026-05-28: Тел, адрес и сайт подтверждены на mixmarkt.eu, expm.info и waze. Часы ежедневно 10:00-21:00 (в некоторых источниках пн-чт 10-14 и 17-21, пт-вс 10-21). Eixample. Сеть Mix Markt - крупнейший европейский ритейлер восточноевр продуктов, 28+ лет на рынке.",5,paginasamarillas.es / mixmarkt.eu,Да,5,2026-05-28,https://expm.info/c:spain:catalonia:barcelona/es/mix_markt--es08013--barcelona--carrer_de_sicilia-133.address / https://www.waze.com/ru/live-map/directions/es/ct/barcelona/tienda-rusa-mix-markt-barcelona-russkij-magazin / https://www.mixmarkt.eu/es/inicio/,,,,Круглый год
R023,Розница,Розница-Русский/славянский магазин,Anahit,"C/ Mallorca, 610",Barcelona,+34 637 272 611,,https://www.supermercatanahit.amawebs.com,"АРМЯНСКИЙ супермаркет в Клот (метро L1/L2). Продукты бывш. СССР, России, Армении, Болгарии, Украины, Румынии. ПРИОРИТЕТ №1 - именно армянский лаваш их фирма. VERIFICADO 2026-05-28: Адрес и сайт подтверждены на aiyellow.com. Тел из исходной базы не нашёл независимое подтверждение - вероятно мобильный владельца. Метро Clot L1/L2. ВАЖНО: армянские владельцы - возможные конкуренты по лавашу, но также возможные клиенты-партнёры.",5,aiyellow.com / barcelona-maresme.com,Частично,3,2026-05-28,https://www.aiyellow.com/supermercatanahit/,,,,Круглый год
R024,Розница,Розница-Русский/славянский магазин,Margarita,"Avinguda Fabra i Puig, 273",Barcelona,+34 934 291 266,,https://www.tiendarusa.amawebs.com,"Семейная русская тиенда. Продукты Russia/Armenia/Georgia. VERIFICADO 2026-05-28: Адрес и тел подтверждены на ruslandiabarcelona.blogspot.com (старый источник, 2013). На современных каталогах магазин не находится активно - возможно работает, но нужно подтвердить звонком. Параллельный Margarita Puig - другая ИНН (риелтор), не путать.",4,spaincostas.ru,Частично,2,2026-05-28,https://ruslandiabarcelona.blogspot.com/p/establecimientos-rusos-en-bcn.html,,,,Круглый год
R025,Розница,Розница-Русский/славянский магазин,El Arca de Noé / Noev Kovcheg,"Carrer de Bunyola, 9/13, 08016",Barcelona,,,,"АРМЯНСКОЕ название! 'Ноев Ковчег' - возможный армянский владелец. VERIFICADO 2026-05-28: Не найдено независимое подтверждение существования. Carrer Bunyola в 08016 (Nou Barris) - реальная улица. Альтернативная армянская тиенда в Барселоне - 'Alimentació Ètnica d'Armènia' на Carrer Garcilaso 23, тел 931 97 02 05 (другой адрес). Возможно адрес устарел/магазин закрыт.",4,espanium.super.site,Нет,1,2026-05-28,not found - posible cerrado o información obsoleta,,,,Круглый год
R026,Розница,Розница-Русский/славянский магазин,Marusya,"Carrer de Llull, 232, 08005",Barcelona,,,,"Сант Марти. VERIFICADO 2026-05-28: Адрес КОРРЕКЦИЯ - mapcarta показывает номер 232 (не 230). Часы: пн-пт 09:30-15:30 и 17:00-20:30, сб 10:00-20:00, вс 10:00-15:00. Категория супермаркет. Рядом Jardins de Simone de Beauvoir. Тел не найден в открытых базах - требуется звонок по адресу.",4,espanium.super.site,Частично,3,2026-05-28,https://mapcarta.com/N12222475325 / https://mapcarta.com/es/N12222475325,,,,Круглый год
R027,Розница,Розница-Русский/славянский магазин,Krakoviak (Polish Shop),"C/ de Sicília, 326, 08025",Barcelona,+34 935 39 06 16,krakoviak.tienda@hotmail.com,https://krakoviak.shop,"Польский магазин - тоже могут брать. Польские и русские продукты. VERIFICADO 2026-05-28: Тел, адрес и сайт подтверждены на Waze. Часы: пн-сб 10:00-22:00, вс 11:00-21:00 (в августе спецчасы). Альтернативный исторический тел: 678 079 760. Email из 2006 - krakoviak.tienda@hotmail.com (старый, проверить). Метро Sagrada Familia. ВАЖНО: работает по воскресеньям когда другие закрыты.",3,espanium.super.site,Да,5,2026-05-28,https://www.waze.com/live-map/directions/es/ct/barcelona/polish-shop-krakoviak / https://barcalena.pl/barcelona-restauracje/polski-sklep-krakoviak/ / https://szkolapolska.blogspot.com/2006/03/ogoszenie-pierwszy-polski-sklep-w.html,,,,Круглый год
R029,Розница,Розница-Русский/славянский магазин,Alfa,"Av. d'Alfons XIII, 257, 08918",Badalona,,,,Бадалона. VERIFICADO 2026-05-28: Магазин с таким именем как русская/славянская тиенда в Бадалоне в открытых источниках НЕ НАЙДЕН. Ближайший адрес 'Av Alfonso XIII 579' - это Consum (испанский супермаркет). 'Alfa' в Бадалоне находится как Alfa Inmobiliaria (недвижимость) - не наша категория. Возможно магазин закрыт или адрес неточный.,4,espanium.super.site,Нет,1,2026-05-28,not found en directorios russos/eslavos públicos,,,,Круглый год
R030,Розница,Розница-Русский/славянский магазин,Baltika,"Carrer de Mozart, 11-13, 08917",Badalona,,,,"Бадалона. VERIFICADO 2026-05-28: НЕ ПОДТВЕРЖДЁН как физический магазин в Бадалоне. baltika.es - это онлайн-магазин для всей Испании (доставка из Барселоны). Supermercado Báltica физический находится в Бенидорме (La Cala Finestrat), а не в Бадалоне. ASFARU указывает 'Baltika' только в Cala de Finestrat (Benidorm) и Collado Villalba (Мадрид). Carrer Mozart 11-13 в Бадалоне 08917 существует, но магазин с таким именем там не подтверждён.",4,espanium.super.site,Нет,1,2026-05-28,not found - возможно ошибка в исходных данных,,,,Круглый год
R032,Розница,Розница-Русский/славянский магазин,Troika Castelldefels,"Av. de la Constitució, 124-126, 08860",Castelldefels,,,,"Кастельдефельс - богатые русскоязычные. VERIFICADO 2026-05-28: Магазин 'Troika' специально в Кастельдефельсе НЕ ПОДТВЕРЖДЁН (Troika в Барселоне - Carrer Unió 3, Troika Delikatessen в Льорет-де-Мар и Лас-Кантерас). Av Constitució в Кастельдефельсе - реальная торговая улица, но в каталогах supermarcat только Caprabo, Veritas и др. Возможно русская тиенда закрылась или название/адрес неточные. Нужна личная разведка на месте.",4,spaintorus.es,Нет,1,2026-05-28,not found - posible cerrado,,,,Круглый год
R033,Розница,Розница-Русский/славянский магазин,Tienda Nostalgia (Santa Coloma),"C/ Cultura, 10",Santa Coloma de Gramenet,+34 646 955 792 / +34 618 792 137,real.arman@hotmail.com,,"Армянские владельцы. Открытое сообщение - не закрыто. VERIFICADO 2026-05-28: Все контакты подтверждены на casarusia.com. Открыта в 2007 году парой Vika и Edik (армяне). Часы: вт-пт 10:00-14:00 и 16:00-22:00, сб 10:00-22:00, вс 11:00-20:00, пн 17:00-22:00. Продают: рус продукты, CD, DVD, книги, газеты, журналы. Также упомянута в ASFARU как 'NOSTALGIA C/Cultura,10 Santa Coloma'. ВАЖНО: армянские владельцы - стратегический контакт для армянского лаваша.",4,casarusia.com,Да,5,2026-05-28,https://casarusia.com/foro/viewtopic.php?p=12246 / http://www.asfaru.org/pagines/listadotiendasrusas.htm,,,,Круглый год
R034,Розница,Розница-Русский/славянский магазин,Tienda C/ Irlanda 49,"C/ Irlanda, 49, local 3",Santa Coloma de Gramenet,,,,Русские+румынские+болгарские+польские. Метро L1 Santa Coloma. VERIFICADO 2026-05-28: НЕ ПОДТВЕРЖДЁН - на Calle Irlanda 49 в Santa Coloma de Gramenet магазин восточноевропейских продуктов в открытых базах не находится. Calle Irlanda и Passatge Irlanda - реальные улицы. Возможно небольшая тиенда без онлайн-присутствия. Нужна личная разведка.,3,elcontacto.ru,Нет,1,2026-05-28,not found en directorios,,,,Круглый год
R035,Розница,Розница-Русский/славянский магазин,Bar Salamanca,требует верификации,Sabadell,,,,"Сабадель. Из списка rentechdigital - 49 отзывов 4.2. VERIFICADO 2026-05-28: НЕ ПОДТВЕРЖДЁН как русская/славянская тиенда. Bar Salamanca SL зарегистрирован в Oropesa del Mar (Castellón) как ресторан. В Сабаделе может быть бар с похожим названием, но связь с русскими продуктами не подтверждена. ОШИБКА КАТАЛОГА RENTECHDIGITAL - не все его 'Russian grocery stores' таковыми являются. Низкая надёжность.",3,rentechdigital.com,Нет,1,2026-05-28,not found как русская тиенда - возможна ошибка категоризации в исходной базе,,,,Круглый год
R036,Розница,Розница-Русский/славянский магазин,Kozak (Sabadell),"C/ Once de Septiembre, 65, Sabadell",Sabadell,+34 937 220 113,,,"Польско-русский магазин. VERIFICADO 2026-05-28: КОРРЕКЦИЯ адреса - правильно 'Once de Septiembre 65' (не 29). Тел подтверждён через my.mail.ru/community/neways_spain. Часы: вт-сб 10:00-14:00 и 17:00-21:00, вс 10:00-14:00, пн закрыт. Украинский мини-маркет. Также упомянут на lafelicitatesmenja.blogspot.com (2012). Магазин с историей. ПРИМЕЧАНИЕ: в Сарагосе есть другой Kozak (Yuri Isaiev) - не путать.",3,casarusia.com,Да,4,2026-05-28,https://m.my.mail.ru/community/neways_spain/5714495416741659.html / http://lafelicitatesmenja.blogspot.com/2012/01/sopar-russia.html,,,,Круглый год
R038,Розница,Розница-Русский/славянский магазин,Cesta Selecta,"Consell de Cent 493, 08013",Barcelona,+34 685 89 03 42 / +34 932 17 61 16,atencionalcliente@cestaselecta.es,https://www.cestaselecta.es,"ОПТОВО-розничный дистрибьютор русских/восточноевр товаров в провинции Барселона. Свой холодильный транспорт. Бесплатная доставка по провинции от 50€. Возможный СТРАТЕГИЧЕСКИЙ партнёр-дистрибьютор. VERIFICADO 2026-05-28: Все данные подтверждены на cestaselecta.es. Часы пн-сб 10:00-20:00 (телефон), пн-вс 10:00-20:00 (Punto Culminante 06 - пункт выдачи). Болгарский язык в поддержке. Доставка с рефрижераторами по всей провинции. Болгарские/русские/украинские/румынские/польские товары. ВЫСОКИЙ ПРИОРИТЕТ КОНТАКТА.",5,cestaselecta.es,Да,5,2026-05-28,https://www.cestaselecta.es / https://www.cestaselecta.es/tienda-rusa-barcelona/,,,,Круглый год
R040,Розница,Розница-Русский/славянский магазин,Extrainvest / Extramagazin,Barcelona (без публичного физ.адреса - онлайн),Barcelona,,,https://extrainvest.es / https://extramagazin.es,"Онлайн-магазин продуктов из Восточной Европы. Возможный дистрибьютор. VERIFICADO 2026-05-28: Оба сайта (extrainvest.es и extramagazin.es) принадлежат одной компании Extrainvest Magazin Barcelona. 25 лет в секторе питания, 20000+ референсов, 90% ассортимента не найти в обычных супермаркетах. Доставка по всей Испании. Категории: икра, водка, пиво, конфеты, чай, замороженные пельмени и хинкали, сырники, халва, копчёные продукты. Контакты на сайте требуют проверки.",4,extrainvest.es,Да,4,2026-05-28,https://extrainvest.es / https://extramagazin.es / https://extrainvest.es/tienda,,,,Круглый год
R153,Опт,Опт-Дистрибьютор HORECA,Assolim Alimentaria,"A-2 Salida El Bruc, Pol. Ind. Mas del Pi",Els Hostalets de Pierola,+34 938 608 180,maria.borrego@assolim.com,https://assolim.com,"VERIFICADO. Servicio integral HORECA, cobertura completa Barcelona+Tarragona, parcial Girona+Lleida. Flota frigorífica propia. Frescos/refrigerados/congelados. IDEAL B2B-партнер для лаваша.[DOUBLE_CHECK 28.05.2026] Альт. тел: +34 93 755 47 40",5,assolim.com,Да,5,2026-05-28,https://assolim.com/es/contacto/ + empresite,,Да,,Круглый год
R154,Опт,Опт-Дистрибьютор HORECA,Friman (Alimentos Congelados Friman SA),"Ctra. Manresa-Berga km 1, Pol. Ind. Sant Isidre (sede); C/ Transversal 4 Mercabarna",Sant Fruitós de Bages / Barcelona,+34 93 877 30 00 / +34 900 150 723,friman@friman.cat / comandes@friman.cat,https://friman.es,"VERIFICADO. 50+ años HORECA. Cadena de frío completa: frescos+refrigerados+congelados+pescado. Central Mercabarna. B2B portal frimanGO (click&collect Cataluña Central).[DOUBLE_CHECK 28.05.2026] Возможен новый адрес: Pica d'Estats 77-95, Sant Fruitós de Bages",5,friman.es,Да,5,2026-05-28,https://odoo.friman.cat/es_ES/page/on-som + mercabarna.es,,Да,,Круглый год
R155,Опт,Опт-Дистрибьютор HORECA,Arcón Food (Artesanía Congelada SL),"Avda. Sant Julià, 28",Granollers,+34 93 840 20 17 / +34 648 71 97 88,info@artesaniacongelada.com / marketing@artesaniacongelada.com,https://arconfood.com,VERIFICADO. 30+ años líder congelados Cataluña. Pan/bollería/pastelería/pasta fresca/quinta gama congelados. Entrega 12h. Cadena de frío total. CRÍTИЧЕСКИЙ B2B-канал.,5,arconfood.com,Да,5,2026-05-28,https://www.arconfood.com/ + empresite,,Да,,Круглый год
R156,Опт,Опт-Дистрибьютор HORECA,Bidfood Iberia (incluye Colofruit),"Calle Pratenc-cent set, 2",El Prat de Llobregat,+34 93 262 89 10,info@bidfoodiberia.com,https://bidfoodiberia.com,VERIFICADO. Lider HORECA España. Diciembre 2024 adquirió Colofruit (125+ años frescos). También incluye Guzmán Gastronomía (Barcelona). Productos cárnicos+frescos+congelados. Cadena de frío completa. Portal B2B: mybidfood.es.,5,bidfoodiberia.com,Да,5,2026-05-28,https://bidfoodiberia.com/atencion-a-cliente/ + restauracionnews.com,,Да,,Круглый год
R157,Опт,Опт-Дистрибьютор HORECA,Frostfred,Distribución España (sin dirección física pública),Cataluña / España,+34 93 768 27 74,info@frostfred.com,https://frostfred.com,VERIFICADO parcial. Distribuidor mayorista congelados HORECA. Crepes/pancakes/bagels/tequeños/cookies/churros/fruta smoothies. Entrega 72h. Cadena de frío SI.,4,frostfred.com,Да,4,2026-05-28,https://www.frostfred.com/donde-comprar-congelados-para-hosteleria/,,Да,,Круглый год
