ID,Categoria,Nombre,Direccion,Ciudad,Telefono,Email,Sitio,Notas,Prioridad,Fuente
CRU-017,Cruise Line BCN,MSC Cruceros (MSC Cruises),"Procurement HQ: Avenue Eugene Pittard 16, Geneva",Geneva (Suiza) - oficina BCN para ventas,+41 22 595 39 00 (HQ),food.procurement@msccruises.com (general),https://www.msccruises.com,"Cruceros mas frecuentes en BCN (MSC World Europa, Grandiosa, Splendida, Meraviglia, Seaview, Explora). Procurement food/beverages centralizado en Ginebra y Napoles (Italia). Lista de proveedores aprobados cerrada - requiere supplier qualification multi-mes con HACCP/IFS/BRCGS + auditoria. Mejor entrar VIA ship chandler local BCN (CRU-001 a CRU-005) que directamente.",3,msccruises.com / cruisemapper.com
CRU-018,Cruise Line BCN,Costa Crociere,"Piazza Piccapietra 48",Genova (Italia) 16121,+39 010 5483 0,supplier@costacrociere.it,https://www.costacruises.com,"Costa Smeralda Toscana Fascinosa Favolosa - frecuentes en BCN. Subsidiaria de Carnival Corp. Procurement Genova. Italianos = exigentes con producto mediterraneo autentico (puede ser oportunidad para lavash artesanal). Lista cerrada - via ship chandler local.",3,costacruises.com / cruisemapper.com
CRU-019,Cruise Line BCN,Royal Caribbean International,"1050 Caribbean Way",Miami FL 33132 (USA),+1 305 539 6000,supplier_relations@rccl.com,https://www.royalcaribbean.com,"Harmony of the Seas Brilliance of the Seas - Mediterranean season BCN. Procurement Miami completamente centralizado. Programa Supplier Diversity pero requisitos altisimos: HACCP + SQF/BRCGS + auditoria USA + insurance USD 5M+. NO accesible directo para productor pequeno. Solo via chandler.",3,royalcaribbean.com / nclhltd.com (referencia industry standards)
CRU-020,Cruise Line BCN,Norwegian Cruise Line (NCL),"7665 Corporate Center Drive",Miami FL 33126 (USA),+1 305 436 4000,supplier@nclcorp.com,https://www.ncl.com,"Norwegian Epic Dawn - homeport BCN parcial. Procurement Miami. NCL Holdings publica criterios: 75% seafood certificado MSC/MarineStewardship + responsable sourcing. Para nuevos proveedores food: programa de qualification 6-18 meses. Inaccesible directo - via Seven Seas Group (CRU-002) o Wrist.",3,nclhltd.com
CRU-021,Cruise Line BCN,Carnival Corporation (Carnival / Princess / Holland America / P&O / Cunard / AIDA),"3655 NW 87th Avenue",Miami FL 33178 (USA),+1 305 599 2600,vendor.relations@carnival.com,https://www.carnivalcorp.com/vendors-suppliers/,"Grupo Carnival opera multiples lineas que entran BCN: Costa (Italia) AIDA (Hamburgo) P&O Arvia Cunard Queen Victoria Princess Sun Princess. Procurement por marca pero compliance group: Carnival Responsible Sourcing Policy + Supplier Standards firma obligatoria + HACCP + auditoria. NO directo para PYME - solo via chandler.",3,carnivalcorp.com
CRU-022,Cruise Line BCN,TUI Cruises (Mein Schiff),"Heidenkampsweg 58",Hamburg (Alemania) 20097,+49 40 600 01 50 00,einkauf@tuicruises.com,https://www.tuicruises.com,"Mein Schiff 1 4 Relax - frecuentes BCN. Mercado aleman = exige certificacion bio/eco y trazabilidad estricta. Procurement Hamburgo. Cluster Mein Schiff usa proveedores europeos directos para algunos productos especiales - posible oportunidad pero requiere IFS Food alta clasificacion.",3,tuicruises.com / cruisemapper.com
CRU-023,Cruise Line BCN,Virgin Voyages,"3470 NW 82nd Avenue Suite 1000",Miami FL 33122 (USA),+1 954 829 7447,suppliers@virginvoyages.com,https://www.virginvoyages.com,"Scarlet Lady Valiant Lady - homeport BCN. Linea joven (post 2020) - mas abierta a producto artesanal y storytelling. Procurement Miami pero programa de proveedores europeos en expansion. Comunicacion mas accesible que Carnival/RCL. HACCP + ISO 22000 minimo.",3,virginvoyages.com / cruisemapper.com
CRU-024,Cruise Line BCN,Celebrity Cruises (RCL Group),"1050 Caribbean Way",Miami FL 33132 (USA),+1 305 539 6000,supplier_relations@rccl.com,https://www.celebritycruises.com,"Celebrity Ascent Equinox Xcel - BCN. Subsidiaria de Royal Caribbean - procurement comparte criterios con CRU-019. Posicionamiento premium = mejor margen para producto artesanal de calidad. Solo via chandler.",3,celebritycruises.com / cruisemapper.com
CRU-025,Cruise Line BCN,Viking Cruises,"5700 Canoga Avenue",Woodland Hills CA 91367 (USA),+1 818 227 1234,vendor@vikingcruises.com,https://www.vikingcruises.com,"Viking Jupiter Mars Vesta - BCN. Mercado nordico/aleman. Procurement USA + europea. Premium / older demographic - alta atencion a calidad. Programa vendor centralizado.",3,vikingcruises.com / cruisemapper.com
CRU-026,Cruise Line BCN,Oceania / Regent Seven Seas (NCLH luxury),"7665 Corporate Center Drive",Miami FL 33126 (USA),+1 305 514 2300,procurement@oceaniacruises.com,https://www.oceaniacruises.com,"Oceania Marina + Regent Seven Seas Voyager - BCN. Pertenecen a NCL Holdings (CRU-020). Posicionamiento ultra-premium / culinary. Mayor interes en producto artesanal pero criterios food safety = mismos que NCL. Programa Supplier Qualification 12+ meses.",3,nclhltd.com / cruisemapper.com
